cik,company_name,event_date,key,raw_news,top_sym,top_share,phrase_ratio,verdict,reason
1657853,"HERTZ GLOBAL HOLDINGS, INC  (HTZ, HTZWW)",2020-05-26,hertz global,52,HTZ,0.827,0.981,ACCEPT,R1 symbol HTZ share=0.83
1293310,KALOBIOS PHARMACEUTICALS INC,2015-12-30,kalobios pharmaceuticals,52,KBIO,0.750,0.962,ACCEPT,R1 symbol KBIO share=0.75
1111335,VISTEON CORP  (VC),2009-06-04,visteon,52,,0.000,1.000,ACCEPT,R3 single-token 'visteon' ratio=1.00
1603923,Weatherford International plc  (WFRD),2019-07-02,weatherford,51,WFT,0.686,1.000,ACCEPT,R1 symbol WFT share=0.69
874501,AMBAC FINANCIAL GROUP INC  (AMBC),2010-11-10,ambac financial,48,MMC,0.021,0.979,ACCEPT,R2 phrase 'ambac financial' ratio=0.98
1022646,ULTRA PETROLEUM CORP,2016-05-03,ultra petroleum,48,UPL,0.708,1.000,ACCEPT,R1 symbol UPL share=0.71
1347613,"SYNERGY PHARMACEUTICALS, INC.",2018-12-13,synergy pharmaceuticals,46,SGYP,0.696,1.000,ACCEPT,R1 symbol SGYP share=0.70
1160165,"ShengdaTech, Inc.",2011-08-23,shengdatech,46,,0.000,1.000,ACCEPT,R3 single-token 'shengdatech' ratio=1.00
1396279,"hhgregg, Inc.",2017-03-07,hhgregg,43,HGG,0.791,1.000,ACCEPT,R1 symbol HGG share=0.79
1322705,Spansion Inc.,2009-03-02,spansion,43,,0.000,1.000,ACCEPT,R3 single-token 'spansion' ratio=1.00
1076700,"KIT digital, Inc.",2013-04-26,kit digital,42,,0.000,0.976,ACCEPT,R2 phrase 'kit digital' ratio=0.98
1106935,IVANHOE ENERGY INC,2015-02-26,ivanhoe energy,41,IVAN,0.341,1.000,ACCEPT,R1 symbol IVAN share=0.34
1301206,"ECOTALITY, INC.",2013-09-17,ecotality,40,KNDI,0.025,1.000,ACCEPT,R3 single-token 'ecotality' ratio=1.00
925178,MOVIE GALLERY INC,2007-10-17,movie gallery,40,,0.000,1.000,ACCEPT,R2 phrase 'movie gallery' ratio=1.00
919013,WAVE SYSTEMS CORP,2016-02-01,wave systems,39,WAVX,0.462,0.923,ACCEPT,R1 symbol WAVX share=0.46
1357371,Breitburn Energy Partners LP,2016-05-16,breitburn energy,38,LINE,0.184,0.974,ACCEPT,R2 phrase 'breitburn energy' ratio=0.97
1171014,COSI INC,2016-09-28,cosi,38,COSI,0.579,1.000,ACCEPT,R1 symbol COSI share=0.58
1301063,"Alpha Natural Resources, Inc.",2015-08-03,alpha natural resources,38,BTU,0.211,1.000,ACCEPT,R2 phrase 'alpha natural resources' ratio=1.00
1490930,"Digital Domain Media Group, Inc.",2012-09-12,digital domain media,38,,0.000,1.000,ACCEPT,R2 phrase 'digital domain media' ratio=1.00
1421182,Verso Corp,2016-01-26,verso,37,VRS,0.541,1.000,ACCEPT,R1 symbol VRS share=0.54
314132,FLEETWOOD ENTERPRISES INC/DE/,2009-03-10,fleetwood,37,,0.000,1.000,ACCEPT,R3 single-token 'fleetwood' ratio=1.00
